Average_Cost_for_two,Table_booking,Online_delivery,delivering_now,Price_range,Aggregate_rating,Rating_color,Rating_text,Votes
1100,Yes,No,No,3,4.8,Dark Green,Excellent,314
1200,Yes,No,No,3,4.5,Dark Green,Excellent,591
4000,Yes,No,No,4,4.4,Green,Very Good,270
1500,No,No,No,4,4.9,Dark Green,Excellent,365
1500,Yes,No,No,4,4.8,Dark Green,Excellent,229
1000,No,No,No,3,4.4,Green,Very Good,336
2000,Yes,No,No,4,4,Green,Very Good,520
2000,Yes,No,No,4,4.2,Green,Very Good,677
6000,Yes,No,No,4,4.9,Dark Green,Excellent,621
1100,Yes,No,No,3,4.8,Dark Green,Excellent,532
800,No,No,No,3,4.9,Dark Green,Excellent,1070
900,Yes,No,No,3,4.2,Green,Very Good,488
800,No,No,No,3,4.8,Dark Green,Excellent,294
1000,Yes,No,No,3,4.2,Green,Very Good,458
700,No,No,No,3,4.3,Green,Very Good,223
800,No,No,No,3,3.6,Yellow,Good,29
850,No,No,No,3,4,Green,Very Good,72
1200,Yes,No,No,3,4.5,Dark Green,Excellent,211
600,No,No,No,2,4.5,Dark Green,Excellent,118
1500,Yes,No,No,4,4.4,Green,Very Good,392
3000,Yes,No,No,4,4.7,Dark Green,Excellent,535
1800,Yes,No,No,4,4.5,Dark Green,Excellent,618
55,No,No,No,2,3,Orange,Average,6
30,No,No,No,1,3.8,Yellow,Good,9
45,No,No,No,2,3.7,Yellow,Good,11
60,No,No,No,3,3.8,Yellow,Good,11
50,No,No,No,2,3.2,Orange,Average,11
80,No,No,No,3,3.1,Orange,Average,10
90,No,No,No,3,3.7,Yellow,Good,8
200,No,No,No,4,3.7,Yellow,Good,5
30,No,No,No,1,0,White,Not rated,2
150,No,No,No,4,4.1,Green,Very Good,12
100,No,No,No,4,3.1,Orange,Average,9
60,No,No,No,3,3.6,Yellow,Good,9
100,No,No,No,4,4.3,Green,Very Good,29
230,No,No,No,4,4.2,Green,Very Good,17
100,No,No,No,4,3.6,Yellow,Good,5
150,No,No,No,4,4,Green,Very Good,10
240,No,No,No,4,3.2,Orange,Average,6
230,No,No,No,4,4.9,Dark Green,Excellent,30
350,No,No,No,4,3.3,Orange,Average,8
50,No,No,No,2,3.6,Yellow,Good,9
140,No,No,No,4,4,Green,Very Good,7
100,No,No,No,4,4.8,Dark Green,Excellent,29
60,No,No,No,3,4.7,Dark Green,Excellent,24
90,No,No,No,3,4.5,Dark Green,Excellent,29
170,No,No,No,4,4.2,Green,Very Good,11
60,No,No,No,3,4.8,Dark Green,Excellent,19
100,No,No,No,4,4.9,Dark Green,Excellent,40
90,No,No,No,3,4.6,Dark Green,Excellent,21
120,No,No,No,4,4.9,Dark Green,Excellent,49
170,No,No,No,4,4.6,Dark Green,Excellent,21
90,No,No,No,3,4.3,Green,Very Good,14
150,No,No,No,4,4,Green,Very Good,5
250,No,No,No,4,4.6,Dark Green,Excellent,25
120,No,No,No,4,4.4,Green,Very Good,13
40,No,No,No,2,4.2,Green,Very Good,7
250,No,No,No,4,4.2,Green,Very Good,8
70,No,No,No,3,0,White,Not rated,1
300,No,No,No,4,4.7,Dark Green,Excellent,44
85,No,No,No,3,4.6,Dark Green,Excellent,24
80,No,No,No,3,4.3,Green,Very Good,10
250,No,No,No,4,4.5,Dark Green,Excellent,49
250,No,No,No,4,4.4,Green,Very Good,17
70,No,No,No,3,3.1,Orange,Average,5
100,No,No,No,4,4.1,Green,Very Good,15
300,No,No,No,4,4.8,Dark Green,Excellent,59
120,No,No,No,4,4.6,Dark Green,Excellent,30
75,No,No,No,3,3.9,Yellow,Good,5
55,No,No,No,2,0,White,Not rated,0
200,No,No,No,4,3.4,Orange,Average,73
120,No,No,No,4,3.5,Yellow,Good,9
300,No,No,No,4,4.3,Green,Very Good,39
230,No,No,No,4,3.9,Yellow,Good,12
120,No,No,No,4,4.3,Green,Very Good,68
150,No,No,No,4,4.3,Green,Very Good,46
400,No,No,No,4,4.4,Green,Very Good,37
65,No,No,No,3,0,White,Not rated,2
50,No,No,No,2,0,White,Not rated,2
100,No,No,No,4,4.4,Green,Very Good,22
70,No,No,No,3,4.6,Dark Green,Excellent,58
120,No,No,No,4,4.1,Green,Very Good,11
25,No,No,No,2,3.3,Orange,Average,35
10,No,No,No,1,3.3,Orange,Average,25
0,No,No,No,1,3.4,Orange,Average,34
0,No,No,No,1,3.4,Orange,Average,45
10,No,No,No,1,3.4,Orange,Average,26
0,No,No,No,1,3.4,Orange,Average,36
10,No,No,No,1,3.5,Yellow,Good,67
10,No,No,No,1,3.9,Yellow,Good,141
25,No,No,No,2,3.7,Yellow,Good,147
70,No,No,No,4,3.5,Yellow,Good,51
25,No,No,No,2,3.6,Yellow,Good,88
10,No,No,No,1,3.8,Yellow,Good,153
10,No,No,No,1,3.9,Yellow,Good,160
25,No,No,No,2,3.5,Yellow,Good,57
25,No,No,No,2,3.5,Yellow,Good,58
40,No,No,No,3,3.6,Yellow,Good,115
40,No,No,No,3,3.5,Yellow,Good,51
40,No,No,No,3,3.8,Yellow,Good,250
10,No,No,No,1,3.7,Yellow,Good,117
10,No,No,No,1,3.4,Orange,Average,20
20,No,No,No,2,3.5,Yellow,Good,25
40,No,No,No,3,4.5,Dark Green,Excellent,1821
10,No,No,No,1,4.5,Dark Green,Excellent,849
10,No,No,No,1,4.6,Dark Green,Excellent,917
10,No,No,No,1,3.9,Yellow,Good,439
10,No,No,No,1,3.7,Yellow,Good,289
10,No,No,No,1,4.3,Green,Very Good,558
10,No,No,No,1,4.2,Green,Very Good,613
25,No,No,No,2,4,Green,Very Good,353
25,No,No,No,2,4.1,Green,Very Good,387
40,No,No,No,3,4.3,Green,Very Good,755
10,No,No,No,1,4.2,Green,Very Good,800
10,No,No,No,1,4.1,Green,Very Good,350
40,No,No,No,3,4.1,Green,Very Good,464
25,No,No,No,2,4.2,Green,Very Good,550
10,No,No,No,1,4.1,Green,Very Good,543
40,No,No,No,3,4.1,Green,Very Good,465
10,No,No,No,1,4.4,Green,Very Good,546
10,No,No,No,1,4.4,Green,Very Good,1098
25,No,No,No,2,4.2,Green,Very Good,579
10,No,No,No,1,4.1,Green,Very Good,374
40,No,No,No,3,4.6,Dark Green,Excellent,717
40,No,No,No,3,4.9,Dark Green,Excellent,548
25,No,No,No,2,4.5,Dark Green,Excellent,631
10,No,No,No,1,3.9,Yellow,Good,372
25,No,No,No,2,3.9,Yellow,Good,201
40,No,No,No,3,3.8,Yellow,Good,332
25,No,No,No,2,3.5,Yellow,Good,304
40,No,No,No,3,4.3,Green,Very Good,368
25,No,No,No,2,4.1,Green,Very Good,430
25,No,No,No,2,4.4,Green,Very Good,433
10,No,No,No,1,4,Green,Very Good,380
25,No,No,No,2,4,Green,Very Good,456
40,No,No,No,3,4.2,Green,Very Good,647
40,No,No,No,3,4,Green,Very Good,360
25,No,No,No,2,4,Green,Very Good,227
25,No,No,No,2,3.9,Yellow,Good,290
10,No,No,No,1,4.1,Green,Very Good,270
25,No,No,No,2,4,Green,Very Good,326
35,No,No,No,3,4.3,Green,Very Good,317
10,No,No,No,1,4.2,Green,Very Good,300
20,No,No,No,2,3.2,Orange,Average,21
20,No,No,No,2,4.6,Dark Green,Excellent,237
25,No,No,No,2,4.5,Dark Green,Excellent,879
25,No,No,No,2,4.6,Dark Green,Excellent,615
